English,ISL-Gloss
I wouldn't change a thing., i thing change no
I hate that book., i that book hate
She can speak French fluently., she french fluently speak
It may rain any minute., it any minute rain
She likes nothing but the best., she best nothing but best like
I was trying to prove something., i something try prove
The joke's on you., joke you
Tom began to laugh., tom begin laugh
I had to keep my secret., i my my secret have keep
I'm breaking in my new shoes., i my new my new shoe break in
That's something that happens quite often., that that something happen quite often happen quite
Are all these books yours?, all these book these yours
What's in the bucket?, bucket what
Herold agreed to surrender., herold agree surrender
Who is in the house?, house who
The mayor granted our request., mayor our our request grant
The cops are gone., cop go
The cat didn't move a muscle., cat muscle move no
You said that you were here yesterday., you you here yesterday say
That's the last straw!, that last last straw
Where's your medication?, your medication where
Please read it once more., it once more read
We were playing golf., we golf play
You should look up this word., you this word look up
I'd heard you'd changed., i you hear change
Thanks for your comments., your your comment
Express yourself as clearly as possible., possible yourself as clearly as express
My primary concern is your safety., my primary concern your your safety
I figured that would make you laugh., i that you figure make laugh
What can I do to help you?, i you do help what
Most of us were veterans., most of us veteran
Gay marriage is legal here., gay marriage legal here
I can't stop crying., i stop cry no
I didn't say I was giving up., i i say give up no
I left my glasses at home., i my my glass home leave
I never saw you., i you saw no
Won't you go?, you go no
I feel feverish., i feverish feel
"I don't like it, either.", i it either like no
I caught a cold., i cold catch
Something embarrassing happened last week., something embarrass last last week happen
You're quite attractive., you quite attractive quite
"Well, I must be going.", i go
We ran out of money., we money run out
I want to have fun., i fun want have
They're all lying., they all lie
Your sacrifice was not in vain., your sacrifice vain vain no
I require your assistance., i your your assistance require
His family did not have much money., his family much much money have no
Would you like to leave a message?, you message like leave
These are inexcusable mistakes., these inexcusable inexcusable mistake
You're the only one who can help., you only only one help help who
Security was increased in the city., security city increase in
I don't know what's happened., i know happen what no
I feel it now., i it now feel
Do you want to go?, you want go
I know that Tom might do that., i tom that know do
How much is your hourly pay?, much your hourly pay how
Remind me to never do that again., me that again remind do no
Does Tom know why?, tom know why
The two of us are finally alone., two of alone us finally
What year were you born?, you what year bear
The moon has no atmosphere., moon no atmosphere have
Let's sit up front., 's front let sit up
Take it easy!, it easy take
Would you like something easier?, you easy something easy like
Where's all this coming from?, all this come from where
Tom felt a little left out., tom little leave little leave felt
He is good at cooking., he good at cook cook
I believe you have my umbrella., i you my my umbrella believe have
Don't be late., late no
Cut that out!, that cut
We're being blackmailed., we blackmail
Can I ask you a quick question?, i quick you quick question ask
He left after he had lunch., he he lunch leave have
What is done cannot be undone., do do undo what no
How much do these glasses cost?, much these glass much these cost how
He will succeed to the throne., he throne succeed to
Tom has been blind since birth., tom blind since birth
Don't try this at home., this home try no
Do you believe it now?, you it now believe
Did you buy flowers?, you flower buy
You can count on me any time., you me any time count on
Please say the alphabet backwards., alphabet backwards say
Do you have any Japanese beer?, you japanese any japanese beer have
Are we going to do that?, we that go do
Raspberries are very expensive., raspberries very expensive very
We slept in the same bed., we same same bed sleep in
I haven't ever lied to you., i ever you lie to no
Tell me how to do this., me how this tell do
I agree with you on that point., i you that point agree with
The weather was perfect yesterday., weather perfect yesterday
Do you take work home with you?, you work home you take
Will he succeed or fail?, he succeed fail
He's a jerk., he jerk
Teach me how you do that., you me how that teach do
Why don't you give me a break?, you me break give why no
How does your wife feel about it?, your wife it feel about how
It's no use arguing with him., it no use argue him argue with
Get that book for me., that book me get
I thought you'd left., i you think leave
I need a tissue., i tissue need
Tom still doesn't understand., tom still understand no
My father repaired my old watch., my father my old my old watch repair
I will not be defeated., i defeat no
Did I break it?, i it break
Don't get all high and mighty., all high and mighty all get all no
Is that what he wants?, that he want what
You should meet him., you him meet
Tom kept on crying., tom keep on cry
Her theory is based on facts., her theory fact base on
I truly apologize., i truly apologize
I could see that., i that see
I'll buy it., i it buy
You'd better do that now., you better that now do
Can I share something important with you?, i important something important you share
We grew closer every day., we close every day grow close
My mother has gone shopping., my mother go shop
I never spoke., i speak no
The operation had to be kept secret., operation secret secret have keep
"You're right, I think.", you right i think
I'm voting no., i no vote
An accident may happen at any time., accident any time happen at
What time's your train?, your train what time
Are you certain?, you certain
Tom isn't Mary's boyfriend., tom mary 's mary boyfriend no
