English,ISL-Gloss
Get out of the water., water get out
It was very painful., it very painful very
"I'm sorry, I can't help you.", i sorry i you help no
Why not give us a chance?, us chance give why no
That's just common sense., that common just common sense
I took a day off last week., i last day last week take
Anger showed on his face., anger his his face show on
I felt isolated., i isolate felt
That's not what you used to say., that you use say what no
I saw nothing., i nothing saw
She put on socks., she sock put on
Tom had dirt underneath his fingernails., tom his dirt his fingernail have
Scientists have found water on Mars., scientists water on mars find
It's a bit greasy., it bit greasy
I'm going to see him tomorrow., i him tomorrow go see
I just want to forget about it., i just it want forget about
I've been thinking a lot about you., i lot about you think
Tom must be very proud., tom very proud very
I owe you a sincere apology., i sincere you sincere apology owe
It is getting darker and darker., it darker and darker get
Tom has two jobs., tom two job have
Where is the toilet?, toilet where
We know who they are., we they know who
Where do dreams come from?, dream come from where
Everyone wants to be young and attractive., everyone young and attractive want
He kept silent during the meeting., he silent silent meet keep
"I hope you're happy, too.", i you happy too hope
Have you been waited on?, you wait on
It is none of your business., it your none of your business
What's it like in Australia?, it australia what
I'm not bitter., i bitter no
Can you slow down a little?, you little little slow down
Don't your neighbors ever complain?, your neighbor ever complain no
I think I know the answer., i i answer think know
Does that trouble you?, that trouble you does
Close the blinds., blind close
I didn't need to paint the fence., i fence need paint no
Tom never got better., tom well well get no
He is no ordinary student., he ordinary no ordinary student
"Who is it? ""It's me.""", it it me who
Who needs a drink?, drink need who
I'm not sleepy., i sleepy no
I can't imagine what you've gone through., i you through imagine go through what no
I'll do that tomorrow if possible., i possible that tomorrow do
My bicycle has a flat., my bicycle flat flat have
That was uncalled for., that uncalled for
The pond is very deep., pond very deep very
These trousers are too large., these trouser too large these too
That's very serious., that very serious very
"You love your wife, right?", you your right your wife love
How did Tom pay the rent?, tom rent pay how
He is subject to fits of anger., he subject to fit of anger
Luck had nothing to do with it., luck nothing do it have do with
It's hard to tell., it hard tell
"I'm to blame, not you.", i you blame no
Why did you lie to me?, you me lie to why
Will you have another slice of pie?, you another slice of pie have
He lived a happy life., he happy happy life live
You can't blame this on us., you this us blame no
Everything is set., everything set
This pizza is really good., this pizza really good this really
He's the chairman of the committee., he chairman of committee
Could you gift wrap it?, you it gift wrap
You're not prepared for what awaits you., you prepared for you prepared for await what no
Will you drink another cup of coffee?, you another cup of coffee drink
Tom shot three times., tom three time shoot
Tom was at Mary's baptism., tom mary 's mary baptism
That happens to me all the time., that me all time happen to
What makes you think that?, you that make think what
How lucky can one guy be?, lucky one guy one how
There is no use talking to her., there no use talk her talk to
That's not very reassuring., that very reassure very no
Tom tripped over something., tom something trip over
I'm waiting for your assistance., i your your assistance wait for
I have lost my camera., i my my camera lose
I have to open my shop., i my my shop have open
We don't want to do this., we this want do no
Give him the benefit of the doubt., him benefit of doubt give
I want you out of my house., i my you my house want
We work in a factory., we factory work in
"When the lion roars, the zebras tremble.", lion zebra roar tremble when
She is her own worst enemy., she her own bad her own bad enemy
I feel my age., i my my age feel
I got sick., i sick get
He is capable of treachery., he capable of treachery
We're going to have to work together., we together go have work together
White smoke billowed from the Sistine Chapel., white smoke sistine chapel billow from
I was on patrol., i patrol
I'm beginning to see a pattern., i pattern begin see
Let's have a look., 's look let have
I've never been here before., i here before no
I saw that Tom was smiling., i tom saw smile
The weather is very bad., weather very bad very
I should take a look., i look take
I like these hats., i these hat like
This is the last time., this last last time
Let's sit down., 's let sit down
I can't believe I really did that., i i really that believe do no
You should not go there., you there go there no
Let's drop it., 's it let drop
Make the new guy do it., new guy it make do
My life is almost over., my life almost over
We need to do this report again., we this report again need do
That does make me feel better., that me well make feel well
Look! The airplane is taking off., airplane look take off
How did you get in here?, you here get in how
Tom is afraid it'll happen again., tom afraid it happen again happen again
It seems my dreams never come true., it my dream true seem come no
I'll buy the tickets., i ticket buy
Tom has been smiling all day., tom all day smile
We can't release the prisoners today., we prisoner today release no
Is that a wolf?, that wolf
He's gone into hiding., he hide go into
I don't believe a word Tom says., i tom word say believe say no
"He is over the hill, you know.", he you hill know
Do you have a twin sister?, you twin twin sister have
I loved that dog., i that dog love
I thought I knew you., i i you think know
That's what I want most., that i most want most what
What's your favorite subject?, your favorite subject what
Please hurry. I don't have all night., i all night hurry have no
Doing that will take too long., doing that that too long doing take too
I would never go there., i there go there no
He took off his overcoat., he his his overcoat take off
Mary is Tom's daughter., mary tom 's tom daughter
Many lost their homes in the earthquake., many their their home earthquake lose
Please don't be sad any more., sad any more no
I felt safe., i safe felt
Do you want to hang with us?, you us want hang with
You've missed the boat., you boat miss
Your dog is very fat., your dog very fat very
Nobody was paying attention to her., nobody attention her pay
This is unexpected., this unexpected
We agreed among ourselves., we ourselves agree among
It's up to you., it you
I suddenly became dizzy., i dizzy suddenly become
It's not new., it new no
I was upstairs., i upstairs
"You're in pain, aren't you?", you you pain no
Death before dishonor!, dishonor
You're almost as tall as Tom., you almost as tall as almost as tom
Tom backed out of the room., tom room back out
They know us., they us know
She has never seen him., she him see no
The world economy is in recession now., world economy recession now
I put on some clean clothes., i clean some clean clothes put on
You've ruined your clothes., you your your clothes ruin
I like fruit., i fruit like
I have a new pair of socks., i new new pair of sock have
Can you believe this is already happening?, you this already believe happen
The day isn't over yet., day over yet no
I can see it in your eyes., i your it your eye see
Tom is arrogant., tom arrogant
Why am I doing this?, i this do why
I just guessed., i just guess
I'm eating beans., i bean eat
I need space., i space need
The committee members are all present., committee member present all
"I didn't understand anything, either.", i anything either understand no
I stopped to smoke., i stop smoke
Some people seem to agree with you., some people some you seem agree with
I was very jealous., i very jealous very
Tom doesn't have to come here anymore., tom here anymore have come here no
Handling dynamite can be dangerous., handling dynamite dangerous dynamite handling
My wife is away for the weekend., my wife away weekend
He is pleased with his work., he please with his his work
Is it cruel to declaw your cat?, it cruel your your cat declaw
I'm going to shut up now., i now go shut up
Do you have any kind of alibi?, you any kind of alibi have
Tom needs to get some rest., tom some rest need get
It's about time you got married., it you time marry marry
Tom teaches French in Boston., tom french boston teach
Please let me try it again., me it again let try
I was the happiest man on earth., i happy happy man on earth
Tom is a handsome guy., tom handsome handsome guy
What're you all doing in the library?, you all library do in what
You don't need to do that., you that need do no
Don't expect too much., much too much expect too no
I wasn't informed of this., i this inform of no
The date will be determined later., date later determine later
Have you finished dressing?, you finish dress
I have no further questions., i further no further question have
Tom took a couple of steps back., tom couple of step back take
Did you write down the number?, you number write down
Can you hear us?, you us hear
Come get it., it come get
I won't see him anymore., i him anymore see no
This is our home., this our our home
He denied that he was the thief., he he thief deny
I'm at Tom's house., i tom 's tom house
What type of car do you have?, you what type of car have
You're to do as I tell you., you i you do tell
It was very funny., it very funny very
How can you not like horses?, you horse how no
"Tom was your French teacher, wasn't he?", tom your french he your french teacher no
What can I do for them?, i them do for what
My native language is French., my native language french
Will it take long to recover?, it long take long recover
This coffee has a bitter taste., this coffee bitter this bitter taste have
I've already explained that to Tom., i already that tom explain
We should have departed earlier., we earlier depart earlier
Tom helped me with the move., tom me move help
Tom said he thought Mary was afraid., tom he mary afraid say think
Give us a ride downtown., us ride downtown give
We were all shocked., we all shock all
I don't like the way you're acting., i you way act like act no
I like figuring things out., i thing figure
You're a prisoner., you prisoner
I now agree with Tom., i now tom agree with
"Tom is leaving, isn't he?", tom he leave no
She has to look after her mother., she her her mother have look after
"You're lying, aren't you?", you you lie no
I need to renew my passport., i my my passport need renew
Your book is in my office., your book my my office
I hope it was worth it., i it worth it it hope
Tom has braces on his teeth., tom his his teeth
"I'm sorry, I can't stay long.", i sorry i long stay long no
Somebody must've made a mistake., somebody mistake make
Why would somebody want to live there?, somebody there want live there why
I will be free tomorrow afternoon., i free tomorrow afternoon
I've never sung this before., i this before sing no
My computer won't start up anymore., my computer anymore start up no
"Thanks for calling, Tom."," call , tom call"
You're just a boy., you just boy
Your socks don't match., your sock match no
Is it that obvious?, it that obvious that
He was robbed of his youth., he his his youth rob of
Tom said you were good at chess., tom you good at chess say
"We looked, but saw nothing.", we nothing look saw
These pills come in a blister pack., these pill these blister pack come in
I felt bad afterwards., i bad afterwards felt
City life has advantages and disadvantages., city life advantage and disadvantage have
Make your move., your your move make
I will leave the experiment to you., i experiment you leave
Don't be so outraged., so outraged so no
I've never tried doing it that way., i it that way try do no
We do not know her., we her know no
Tom doesn't need to go., tom need go no
I think you've done enough., i you enough think do enough
I don't have a cellphone., i cellphone have no
Don't cast pearls before swine., pearl swine cast no
We must assume the worst., we bad bad assume
My premonition turned out to be right., my premonition right turn out
They got a warm reception., they warm warm reception get
What are you lining up for?, you line up what
I've been watching you study., i you watch study
I am convinced that he is innocent., i convince he innocent convince
Don't approach the dog., dog approach no
He was very puzzled., he very puzzled very
Do you recycle?, you recycle
Not everyone is honest., not everyone honest
Don't take it to heart., it heart take no
I want some water., i some water want
Most were unable to read or write., most unable read read write
None of these things look tempting., none of tempt these thing look
Let me see your health insurance certificate., me your your insurance certificate let see
I'm not going to hold your hand., i your your hand go hold no
You really should do that., you really that do
He's behaving oddly., he oddly behave oddly
I'm glad to see that you're happy., i glad see you happy see
What's in all these boxes?, all these box what
That was great advice., that great great advice
You know that better than I do., you i that good do know do
"Apparently, not much has changed.", not much apparently change no
He had three sons., he three son have
This may hurt a bit., this bit hurt
Tom started packing his suitcase., tom his his suitcase start pack
My father is not talkative., my father talkative no
He declined the job-offer very politely., he job - offer very politely decline
I should never have stolen that., i that steal no
Things are getting out of control., things control get out
"He was tired, but he kept working.", he tire he keep work
I prefer to ride a bike., i bike prefer ride
We need not have hurried., we hurry no
I ordered the book from Britain., i book from britain order
Is Tom at home now?, tom home now
It was very cold last month., it very cold last very last month
I need a favor., i favor need
Have you ever thought about studying French?, you ever french think about study
This box is full of apples., this box full of this apple
Tom was a brave soldier., tom brave brave soldier
I want you to call the police., i you police want call
The flowers were sent by Tom., flower by tom tom send by
"You were there, too.", you there too
I fell for it., i it fell for
She sent her son for a doctor., she her her son doctor send
Leave him alone., him alone leave
She spoke to me with a smile., she me smile speak to
Take it all., it all take
My wife is a poor driver., my wife poor poor driver
I can't find anything., i anything find no
Can you empty the dishwasher?, you dishwasher empty
I know you're going to say no., i you know go say
Don't lose your purse., your your purse lose no
Who sent you?, you send who
I think that Tom is still breathing., i tom still think breathe
You are really very good., you very good really very
Do you have a phone?, you phone have
Is this a duty-free shop?, this free duty free shop
You're always singing., you always sing
How're you doing?, you do how
You were just doing your duty., you your just your duty do
Have a nice day., nice nice day have
I knew Tom personally., i tom personally know
Tom brought a case of beer., tom case of beer bring
He was accused of theft., he theft accuse of
Tom usually speaks French., tom french usually french speak
I have nothing to add to that., i nothing add that have add to
